LON,LAT,EDO,CLAVE,ESTACION,may-24
-102.309722,21.895,AGS,AGSAG,"Aguascalientes, Ags.",1.13
-102.676944,21.9975,AGS,CDRAG,"La Codorniz, Ags.",0
-101.992222,21.897778,AGS,CNSAG,"Los Conos, Ags.",7.61
-102.296667,22.362778,AGS,CSOAG,"Cos¡o, Ags.",7
-102.356944,22.121667,AGS,JCQAG,"Jocoque, Ags.",1.6
-102.788333,21.8075,AGS,MNLAG,"Media Luna, Ags.",4.22
-102.371667,21.78,AGS,NGRAG,"El Ni gara, Ags.",1.12
-102.290556,21.850833,AGS,OBSAG,"Observatorio de Aguascalientes, Ags.",2.8
-102.465,22.189167,AGS,P50ANIV,"Presa Cincuenta Aniversario, Ags. SMN*",1.2
-102.279167,22.147222,AGS,PBLAG,"Pabell¢n, Ags.",2.9
-102.417222,22.141111,AGS,PECAG,"Plutarco El¡as Calles, Ags.",5.5
-102.135,22.202778,AGS,PTOAG,"Puerto de la Concepci¢n, Ags.",14
-102.4375,22.235,AGS,PTRAG,"Derivadora Pabell¢n, Ags.",1.81
-102.608611,22.269722,AGS,SIERRAFRIA,"Sierra Fr¡a, Ags. SMN*",5.4
-116.204167,32.271944,BC,AGHBN,"Agua Hechicera, B.C.",3.3
-116.908333,32.444722,BC,ALRBN,"Abelardo L. Rodr¡guez, B.C.",0.8
-114.719167,29.727222,BC,CATAVINA,"Catavi¤a, B.C. SMN*",0
-115.921667,32.042222,BC,CONST1857,"Constituci¢n de 1857, B.C. SMN*",2
-116.696944,32.479444,BC,CRRBN,"El Carrizo, B.C.",0.01
-116.584444,32.243056,BC,CSRBN,"Carmen Serd n, B.C.",0
-116.828333,32.468056,BC,EFLBN,"El Florido, B.C.",0.01
-116.6025,31.890278,BC,ELZBN,"Emilio L¢pez Zamora, B.C.",2.5
-115.931389,30.517222,BC,ENBBN,"San Quint¡n, B.C.",0
-115.15,32.411111,BC,ENLBN,"Observatorio de Ejido Nuevo Le¢n, B.C.",0
-116.302778,32.516389,BC,HNGBN,"El Hongo, B.C.",4.4
-115.1875,28.034444,BC,ISLACEDROSmar,"Isla Cedros, B.C. SEMAR*",0
-117.248056,32.415556,BC,ISLACORONADOmar,"Isla Coronado, B.C. SEMAR*",0
-115.502222,32.639444,BC,MEXICALIob,"Mexicali Observatorio, B.C. SMN*",0
-115.27,32.39,BC,MXCBN,"Mexicali, B.C.",0
-114.729444,32.703889,BC,PDMBN,"Presa derivadora Morelos, B.C.",0
-117.071389,32.3775,BC,PLAYAROSARITO,"Playa Rosarito, B.C. SMN*",1
-116.603333,31.891667,BC,PLOPEZZAMORA,"Presa Emilio L¢pez Zamora, B.C. SMN*",1.6
-116.64,31.704444,BC,PTBBN,"Punta Banda, B.C.",0
-116.205556,32.272222,BC,RUMOROSA,"La Rumorosa, B.C. SMN*",3.55
-114.85,31.033333,BC,SFLBN,"Observatorio de San Felipe, B.C.",0
-115.9375,30.531111,BC,SQNBN,"San Quint¡n, B.C. SMN*",0
-116.661667,32.568611,BC,TECATE,"Tecate, B.C. SMN*",5.6
-111.663611,25.009722,BCS,CCNBS,"Observatorio de Ciudad Constituci¢n, B.C.S.",0
-109.424444,23.445278,BCS,CPULMO,"Cabo Pulmo, B.C.S. SMN*",0.1
-109.925833,22.8975,BCS,CSLBS,"Cabo San Lucas, B.C.S.",0
-113.457778,27.643611,BCS,DORBS,"D¡az Ordaz, B.C.S.",0
-114.051944,27.963056,BCS,GNGBS,"Guerrero Negro, B.C.S.",0
-109.697222,23.680556,BCS,LBABS,"Los Barriles, B.C.S.",0
-110.366667,24.15,BCS,LPZBS,"Observatorio de La Paz, B.C.S.",0
-111.349167,26.011667,BCS,LRTBS,"Observatorio de Loreto, B.C.S.",0
-111.983056,26.896111,BCS,MLGBS,"Muleg‚, B.C.S.",0
-111.829444,24.481111,BCS,PCORTESmar,"Puerto Cort‚s, B.C.S. SEMAR*",0
-109.934167,23.9675,BCS,PLNBS,"Los Planes, B.C.S.",0
-109.591389,23.593056,BCS,RBRBS,"La Ribera, B.C.S.",0
-110.059167,23.805,BCS,SANBS,"San Antonio, B.C.S.",0
-109.995,24.083889,BCS,SARBS,"El Sargento, B.C.S.",0
-109.843889,23.738333,BCS,SBABS,"San Bartolo, B.C.S.",0
-109.708333,23.118889,BCS,SJCBS,"San Jos‚ del Cabo, B.C.S.",0
-109.998611,23.555556,BCS,SLAGUNA,"Sierra La Laguna, B.C.S. SMN*",0
-109.713611,23.490278,BCS,SNTBS,"Santiago, B.C.S.",0
-112.272778,27.337778,BCS,SRLBS,"Observatorio de Santa Rosal¡a, B.C.S.",0
-110.210556,23.478889,BCS,TSNBS,"Todos Santos, B.C.S.",0
-89.743889,20.003889,CAMP,BOLCA,"Bolonchen, Camp.",1.5
-89.8925,18.365,CAMP,CALAKMUL,"Calakmul, Camp. SMN*",0.25
-90.575556,19.295,CAMP,CANCA,"Canasayab, Camp.",30.5
-91.761389,18.654167,CAMP,CARCA,"El Carmen, Camp.",3.6
-90.72,19.361667,CAMP,CHMCA,"Champot¢n, Camp.",0
-90.558889,19.830556,CAMP,CMPCA,"Campeche, Camp.",0
-91.046111,18.183056,CAMP,CNDCA,"Candelaria, Camp.",31.6
-90.5075,19.836389,CAMP,COBCA,"Observatorio de Campeche, Camp.",0
-90.741111,18.604444,CAMP,ESCCA,"Esc rcega, Camp.",70.2
-90.105556,20.184167,CAMP,HECCA,"Hecelchak n, Camp.",28
-89.848333,19.751944,CAMP,HPOCA,"Hopelchen, Camp.",0
-90.820833,18.056944,CAMP,MONCLOVACAMP,"Monclova, Camp. SMN*",42.8
-90.221389,19.605833,CAMP,NYXCA,"Noh-Yaxch‚, Camp.",0
-92.086944,18.253056,CAMP,PLZCA,"Palizada, Camp.",12
-91.175833,18.972778,CAMP,SBNCA,"Sabancuy, Camp.",0
-89.860278,19.664444,CAMP,XCPCA,"Xcupil, Camp.",0
